Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Bene' Benwikere,CAR,5,IDP-CB,24,Bene' Benwikere|CAR|IDP-CB,BenwikereBen14,Yellow,70
Chris Conte,TB,6,IDP-SAF,26,Chris Conte|TB|IDP-SAF,ConteChr11,Yellow,69
Shamarko Thomas,PIT,11,IDP-SAF,24,Shamarko Thomas|PIT|IDP-SAF,ThomasSha13,Yellow,69
Mario Williams,BUF,8,IDP-DE,30,Mario Williams|BUF|IDP-DE,WilliamsMar06,Yellow,69
Robert Quinn,STL,6,IDP-DE,25,Robert Quinn|STL|IDP-DE,QuinnRob11,Yellow,69
Phillip Gaines,KC,9,IDP-CB,24,Phillip Gaines|KC|IDP-CB,GainesPhi14,Yellow,69
Vontae Davis,IND,10,IDP-CB,27,Vontae Davis|IND|IDP-CB,DavisVon09,Yellow,69
Chris Harris,DEN,7,IDP-CB,26,Chris Harris|DEN|IDP-CB,HarrisChr11,Yellow,69
Terence Newman,MIN,5,IDP-CB,37,Terence Newman|MIN|IDP-CB,NewmanTer03,Yellow,69
Eric Reid,SF,10,IDP-SAF,24,Eric Reid|SF|IDP-SAF,ReidEri13,Yellow,68
Glover Quin,DET,9,IDP-SAF,29,Glover Quin|DET|IDP-SAF,QuinGlo09,Yellow,68
Da'Norris Searcy,TEN,4,IDP-SAF,27,Da'Norris Searcy|TEN|IDP-SAF,SearcyDa'11,Yellow,68
Mike Mitchell,PIT,11,IDP-SAF,28,Mike Mitchell|PIT|IDP-SAF,MitchellMic09,Yellow,68
Vontaze Burfict,CIN,7,IDP-LB,25,Vontaze Burfict|CIN|IDP-LB,BurfictVon12,Red,68
Jerry Hughes,BUF,8,IDP-DE,27,Jerry Hughes|BUF|IDP-DE,HughesJer10,Yellow,68
Ezekiel Ansah,DET,9,IDP-DE,26,Ezekiel Ansah|DET|IDP-DE,AnsahEze13,Yellow,68
Tramaine Brock,SF,10,IDP-CB,27,Tramaine Brock|SF|IDP-CB,BrockTra10,Yellow,68
Robert Alford,ATL,10,IDP-CB,27,Robert Alford|ATL|IDP-CB,AlfordRob13,Yellow,68
Greg Toler,IND,10,IDP-CB,30,Greg Toler|IND|IDP-CB,TolerGre09,Yellow,68
Stephon Gilmore,BUF,8,IDP-CB,25,Stephon Gilmore|BUF|IDP-CB,GilmoreSte12,Yellow,68
Trumaine Johnson,STL,6,IDP-CB,25,Trumaine Johnson|STL|IDP-CB,JohnsonTru12,Yellow,68
Deone Bucannon,ARI,9,IDP-SAF,23,Deone Bucannon|ARI|IDP-SAF,BucannonDeo14,Yellow,67
D.J. Swearinger,TB,6,IDP-SAF,24,D.J. Swearinger|TB|IDP-SAF,SwearingerD.J13,Yellow,67
Ron Parker,KC,9,IDP-SAF,28,Ron Parker|KC|IDP-SAF,ParkerRon11,Yellow,67
Kendrick Lewis,BAL,9,IDP-SAF,27,Kendrick Lewis|BAL|IDP-SAF,LewisKen10,Yellow,67
Aaron Williams,BUF,8,IDP-SAF,26,Aaron Williams|BUF|IDP-SAF,WilliamsAar11,Yellow,67
Rolando McClain,DAL,6,IDP-LB,26,Rolando McClain|DAL|IDP-LB,McClainRol10,Yellow,67
Vic Beasley,ATL,10,IDP-LB,23,Vic Beasley|ATL|IDP-LB,BeasleyVic15,Yellow,67
Julius Peppers,GB,7,IDP-LB,35,Julius Peppers|GB|IDP-LB,PeppersJul02,Yellow,67
Byron Maxwell,PHI,8,IDP-CB,27,Byron Maxwell|PHI|IDP-CB,MaxwellByr11,Yellow,67
Desmond Trufant,ATL,10,IDP-CB,25,Desmond Trufant|ATL|IDP-CB,TrufantDes13,Yellow,67
Johnathan Banks,TB,6,IDP-CB,26,Johnathan Banks|TB|IDP-CB,BanksJoh13,Yellow,67
Casey Hayward,GB,7,IDP-CB,26,Casey Hayward|GB|IDP-CB,HaywardCas12,Yellow,67
