fo_player_id,key,name,team,pos,age,risk,bye,fpts
DouglasHar08,Harry Douglas|TEN|WR,Harry Douglas,TEN,WR,31,Green,4,77.0
SmithAnt09,Antone Smith|ATL|RB,Antone Smith,ATL,RB,30,Green,10,34.0
StacyZac13,Zac Stacy|NYJ|RB,Zac Stacy,NYJ,RB,24,Blue,5,34.0
RidleySte11,Stevan Ridley|NYJ|RB,Stevan Ridley,NYJ,RB,26,Red,5,33.0
JonesMat15,Matt Jones|WAS|RB,Matt Jones,WAS,RB,22,Blue,8,33.0
SturgisCal13,Caleb Sturgis|MIA|K,Caleb Sturgis,MIA,K,26,Red,5,122.0
Browns D,Browns D|CLE|D,Browns D,CLE,D,--,Green,11,89.0
Steelers D,Steelers D|PIT|D,Steelers D,PIT,D,--,Yellow,11,89.0
LeeMar14,Marqise Lee|JAC|WR,Marqise Lee,JAC,WR,24,Yellow,8,76.0
AjayiJay15,Jay Ajayi|MIA|RB,Jay Ajayi,MIA,RB,22,Yellow,5,32.0
WoodsRob13,Robert Woods|BUF|WR,Robert Woods,BUF,WR,23,Green,8,75.0
StreaterRod12,Rod Streater|OAK|WR,Rod Streater,OAK,WR,27,Green,6,75.0
WheatonMar13,Markus Wheaton|PIT|WR,Markus Wheaton,PIT,WR,24,Green,11,75.0
CareyKa'14,Ka'Deem Carey|CHI|RB,Ka'Deem Carey,CHI,RB,23,Green,7,30.0
ReddSil14,Silas Redd|WAS|RB,Silas Redd,WAS,RB,23,Green,8,29.0
GerhartTob10,Toby Gerhart|JAC|RB,Toby Gerhart,JAC,RB,28,Green,8,29.0
Colts D,Colts D|IND|D,Colts D,IND,D,--,Yellow,10,88.0
Jaguars D,Jaguars D|JAC|D,Jaguars D,JAC,D,--,Yellow,8,88.0
HarvinPer09,Percy Harvin|BUF|WR,Percy Harvin,BUF,WR,27,Green,8,74.0
TammeJac08,Jacob Tamme|ATL|TE,Jacob Tamme,ATL,TE,30,Red,10,45.0
CadetTra12,Travaris Cadet|NE|RB,Travaris Cadet,NE,RB,26,Red,4,28.0
ReeceMar08,Marcel Reece|OAK|RB,Marcel Reece,OAK,RB,30,Red,6,27.0
BallardVic12,Vick Ballard|IND|RB,Vick Ballard,IND,RB,25,Red,10,27.0
MichaelChr13,Christine Michael|SEA|RB,Christine Michael,SEA,RB,25,Green,9,26.0
ThompsonJuw14,Juwan Thompson|DEN|RB,Juwan Thompson,DEN,RB,23,Green,7,25.0
DavisMik15,Mike Davis|SF|RB,Mike Davis,SF,RB,22,Blue,10,25.0
KuhnJoh06,John Kuhn|GB|RB,John Kuhn,GB,RB,33,Yellow,7,25.0
GanoGra09,Graham Gano|CAR|K,Graham Gano,CAR,K,28,Yellow,5,120.0
Saints D,Saints D|NO|D,Saints D,NO,D,--,Red,11,87.0
Redskins D,Redskins D|WAS|D,Redskins D,WAS,D,--,Yellow,8,87.0
TodmanJor11,Jordan Todman|CAR|RB,Jordan Todman,CAR,RB,25,Green,5,24.0
BoldenBra12,Brandon Bolden|NE|RB,Brandon Bolden,NE,RB,25,Green,4,24.0
WilliamsKar15,Karlos Williams|BUF|RB,Karlos Williams,BUF,RB,22,Green,8,24.0
MurphyMar15,Marcus Murphy|NO|RB,Marcus Murphy,NO,RB,24,Green,11,24.0
AllenJav15,Javorius Allen|BAL|RB,Javorius Allen,BAL,RB,24,Green,9,23.0
AsiataMat11,Matt Asiata|MIN|RB,Matt Asiata,MIN,RB,28,Green,5,23.0
BrownMar13,Marlon Brown|BAL|WR,Marlon Brown,BAL,WR,24,Yellow,9,71.0
HilliardKen15,Kenny Hilliard|HOU|RB,Kenny Hilliard,HOU,RB,24,Blue,9,22.0
WhittakerFoz12,Fozzy Whittaker|CAR|RB,Fozzy Whittaker,CAR,RB,26,Green,5,21.0
BortlesBla14,Blake Bortles|JAC|QB,Blake Bortles,JAC,QB,24,Red,8,240.0
FolesNic12,Nick Foles|STL|QB,Nick Foles,STL,QB,26,Green,6,240.0
DawsonPhi99,Phil Dawson|SF|K,Phil Dawson,SF,K,40,Yellow,10,119.0
CatanzaroCha14,Chandler Catanzaro|ARI|K,Chandler Catanzaro,ARI,K,24,Yellow,9,119.0
TaylorSte13,Stepfan Taylor|ARI|RB,Stepfan Taylor,ARI,RB,24,Green,9,20.0
CelekBre07,Brent Celek|PHI|TE,Brent Celek,PHI,TE,30,Yellow,8,40.0
GriceMar14,Marion Grice|ARI|RB,Marion Grice,ARI,RB,24,Green,9,18.0
RobinsonJos15,Josh Robinson|IND|RB,Josh Robinson,IND,RB,23,Green,10,18.0
WinnGeo13,George Winn|DET|RB,George Winn,DET,RB,25,Green,9,17.0
DixonAnt10,Anthony Dixon|BUF|RB,Anthony Dixon,BUF,RB,28,Red,8,15.0
WilliamsKer13,Kerwynn Williams|ARI|RB,Kerwynn Williams,ARI,RB,24,Green,9,15.0
HarrisDuJ11,DuJuan Harris|MIN|RB,DuJuan Harris,MIN,RB,27,Green,5,15.0
BurkheadRex13,Rex Burkhead|CIN|RB,Rex Burkhead,CIN,RB,25,Green,7,15.0
PeermanCed09,Cedric Peerman|CIN|RB,Cedric Peerman,CIN,RB,29,Green,7,15.0
PierceBer12,Bernard Pierce|JAC|RB,Bernard Pierce,JAC,RB,24,Red,8,15.0
ParkerDeV15,DeVante Parker|MIA|WR,DeVante Parker,MIA,WR,22,Red,5,67.0
ShortsCec11,Cecil Shorts|HOU|WR,Cecil Shorts,HOU,WR,28,Red,9,67.0
LewisMar06,Marcedes Lewis|JAC|TE,Marcedes Lewis,JAC,TE,31,Yellow,8,38.0
GreshamJer10,Jermaine Gresham|ARI|TE,Jermaine Gresham,ARI,TE,27,Red,9,38.0
BrownBry12,Bryce Brown|BUF|RB,Bryce Brown,BUF,RB,24,Green,8,14.0
LangfordJer15,Jeremy Langford|CHI|RB,Jeremy Langford,CHI,RB,24,Blue,7,14.0
PeadIsa12,Isaiah Pead|STL|RB,Isaiah Pead,STL,RB,26,Green,6,13.0
CarpenterDan08,Dan Carpenter|BUF|K,Dan Carpenter,BUF,K,30,Yellow,8,117.0
Bears D,Bears D|CHI|D,Bears D,CHI,D,--,Green,7,84.0
LatimerCod14,Cody Latimer|DEN|WR,Cody Latimer,DEN,WR,23,Red,7,66.0
EscobarGav13,Gavin Escobar|DAL|TE,Gavin Escobar,DAL,TE,24,Green,6,37.0
GreenVir11,Virgil Green|DEN|TE,Virgil Green,DEN,TE,27,Green,7,37.0
RawlsTho15$,Thomas Rawls|SEA|RB,Thomas Rawls,SEA,RB,22,Blue,9,12.0
ToussaintFit14,Fitzgerald Toussaint|BAL|RB,Fitzgerald Toussaint,BAL,RB,25,Green,9,12.0
QuarlessAnd10,Andrew Quarless|GB|TE,Andrew Quarless,GB,TE,27,Yellow,7,36.0
TiptonZur14,Zurlon Tipton|IND|RB,Zurlon Tipton,IND,RB,25,Red,10,10.0
NovakNic05,Nick Novak|SD|K,Nick Novak,SD,K,34,Yellow,10,116.0
SantosCai14,Cairo Santos|KC|K,Cairo Santos,KC,K,24,Yellow,9,116.0
Chargers D,Chargers D|SD|D,Chargers D,SD,D,--,Yellow,10,83.0
BeasleyCol12,Cole Beasley|DAL|WR,Cole Beasley,DAL,WR,26,Green,6,64.0
FunchessDev15,Devin Funchess|CAR|WR,Devin Funchess,CAR,WR,21,Green,5,64.0
CooperRil10,Riley Cooper|PHI|WR,Riley Cooper,PHI,WR,28,Yellow,8,63.0
AustinTav13,Tavon Austin|STL|WR,Tavon Austin,STL,WR,24,Green,6,63.0
JenningsGre06,Greg Jennings|MIA|WR,Greg Jennings,MIA,WR,32,Green,5,61.0
Raiders D,Raiders D|OAK|D,Raiders D,OAK,D,--,Yellow,6,81.0
RobertsAnd10,Andre Roberts|WAS|WR,Andre Roberts,WAS,WR,27,Yellow,8,59.0
