espn_id,full_name,team,position,age,fantasy_points,first_last,position_rank,risk,auction_value,bye
16790,jarvis landry,MIA,WR,23.0,122.0,"landry, jarvis",27.0,Green,3.44545247136,5.0
4461,andre johnson,IND,WR,34.0,122.0,"johnson, andre",27.0,Green,3.44545247136,10.0
13271,eric decker,NYJ,WR,28.0,122.0,"decker, eric",27.0,Green,3.44545247136,5.0
9761,delanie walker,TEN,TE,31.0,94.0,"walker, delanie",10.0,Yellow,3.44545247136,4.0
12497,arian foster,HOU,RB,29.0,125.0,"foster, arian",27.0,Red,3.18116240915,9.0
9705,brandon marshall,NYJ,WR,31.0,121.0,"marshall, brandon",31.0,Red,3.18116240915,5.0
,ameer abdullah,DET,RB,22.0,123.0,"abdullah, ameer",28.0,Yellow,2.92211344087,9.0
14900,coby fleener,IND,TE,27.0,92.0,"fleener, coby",11.0,Green,2.92211344087,10.0
,tevin coleman,ATL,RB,22.0,120.0,"coleman, tevin",29.0,Yellow,2.66876809795,10.0
13203,cj spiller,NO,RB,28.0,120.0,"spiller, cj",29.0,Red,2.66876809795,11.0
8442,roddy white,ATL,WR,34.0,119.0,"white, roddy",32.0,Red,2.66876809795,10.0
14909,kendall wright,TEN,WR,26.0,119.0,"wright, kendall",32.0,Green,2.66876809795,4.0
16804,john brown,ARI,WR,25.0,118.0,"brown, john",34.0,Red,2.42169243446,9.0
14908,michael floyd,ARI,WR,26.0,118.0,"floyd, michael",34.0,Red,2.42169243446,9.0
14876,ryan tannehill,MIA,QB,27.0,288.0,"tannehill, ryan",11.0,Yellow,2.18159734039,5.0
14001,colin kaepernick,SF,QB,28.0,288.0,"kaepernick, colin",11.0,Green,2.18159734039,10.0
2622,steve smith,BAL,WR,36.0,117.0,"smith, steve",36.0,Yellow,2.18159734039,9.0
15893,andre ellington,ARI,RB,26.0,116.0,"ellington, andre",31.0,Green,2.18159734039,9.0
17133,isaiah crowell,CLE,RB,22.0,115.0,"crowell, isaiah",32.0,Green,2.18159734039,11.0
13587,chris ivory,NYJ,RB,27.0,115.0,"ivory, chris",32.0,Yellow,2.18159734039,5.0
15835,zach ertz,PHI,TE,25.0,89.0,"ertz, zach",12.0,Yellow,2.18159734039,8.0
5528,larry fitzgerald,ARI,WR,32.0,116.0,"fitzgerald, larry",37.0,Yellow,1.94940608196,9.0
9838,marques colston,NO,WR,32.0,115.0,"colston, marques",38.0,Green,1.72637350384,11.0
9684,owen daniels,DEN,TE,33.0,87.0,"daniels, owen",13.0,Green,1.72637350384,7.0
5529,philip rivers,SD,QB,34.0,285.0,"rivers, philip",13.0,Yellow,1.51432011513,10.0
5526,eli manning,NYG,QB,34.0,285.0,"manning, eli",13.0,Yellow,1.51432011513,11.0
13536,joique bell,DET,RB,29.0,107.0,"bell, joique",34.0,Yellow,1.31617243147,9.0
16732,eric ebron,DET,TE,22.0,85.0,"ebron, eric",14.0,Yellow,1.31617243147,9.0
16795,austin seferian-jenkins,TB,TE,23.0,85.0,"seferian-jenkins, austin",14.0,Yellow,1.31617243147,6.0
,duke johnson,CLE,RB,22.0,106.0,"johnson, duke",35.0,Green,1.13762204416,11.0
2330,tom brady,NE,QB,38.0,282.0,"brady, tom",15.0,Red,1.0,4.0
16799,allen robinson,JAC,WR,22.0,111.0,"robinson, allen",39.0,Yellow,1.0,8.0
12576,brandon lafell,NE,WR,29.0,110.0,"lafell, brandon",40.0,Red,1.0,4.0
14032,torrey smith,SF,WR,26.0,110.0,"smith, torrey",40.0,Yellow,1.0,10.0
16913,james white,NE,RB,23.0,101.0,"white, james",36.0,Yellow,1.0,4.0
14895,ronnie hillman,DEN,RB,24.0,101.0,"hillman, ronnie",36.0,Green,1.0,7.0
15826,giovani bernard,CIN,RB,24.0,99.0,"bernard, giovani",38.0,Green,1.0,7.0
15878,terrance williams,DAL,WR,26.0,108.0,"williams, terrance",42.0,Green,1.0,6.0
13553,victor cruz,NYG,WR,29.0,108.0,"cruz, victor",42.0,Red,1.0,11.0
15832,knile davis,KC,RB,24.0,97.0,"davis, knile",39.0,Green,1.0,9.0
8444,heath miller,PIT,TE,33.0,80.0,"miller, heath",16.0,Green,1.0,11.0
14054,kyle rudolph,MIN,TE,26.0,80.0,"rudolph, kyle",16.0,Red,1.0,5.0
16889,andre williams,NYG,RB,23.0,95.0,"williams, andre",40.0,Green,1.0,11.0
11788,danny woodhead,SD,RB,30.0,95.0,"woodhead, danny",40.0,Red,1.0,10.0
9613,deangelo williams,PIT,RB,32.0,95.0,"williams, deangelo",40.0,Red,1.0,11.0
15860,jordan reed,WAS,TE,25.0,79.0,"reed, jordan",18.0,Yellow,1.0,8.0
14221,doug baldwin,SEA,WR,27.0,106.0,"baldwin, doug",44.0,Green,1.0,9.0
16749,charles sims,TB,RB,25.0,93.0,"sims, charles",43.0,Yellow,1.0,6.0
15788,tyler eifert,CIN,TE,25.0,78.0,"eifert, tyler",19.0,Yellow,1.0,7.0
16784,tre mason,STL,RB,22.0,92.0,"mason, tre",44.0,Blue,1.0,6.0
11238,darren mcfadden,DAL,RB,28.0,92.0,"mcfadden, darren",44.0,Yellow,1.0,6.0
,devin funchess,CAR,WR,21.0,104.0,"funchess, devin",45.0,Yellow,1.0,5.0
14885,doug martin,TB,RB,26.0,89.0,"martin, doug",46.0,Green,1.0,6.0
16792,jace amaro,NYJ,TE,23.0,76.0,"amaro, jace",20.0,Yellow,1.0,5.0
16921,alfred blue,HOU,RB,24.0,87.0,"blue, alfred",47.0,Yellow,1.0,9.0
9588,reggie bush,SF,RB,30.0,86.0,"bush, reggie",48.0,Green,1.0,10.0
15923,mychal rivera,OAK,TE,25.0,74.0,"rivera, mychal",21.0,Yellow,1.0,6.0
14901,dwayne allen,IND,TE,25.0,74.0,"allen, dwayne",21.0,Green,1.0,10.0
14012,andy dalton,CIN,QB,28.0,272.0,"dalton, andy",16.0,Green,1.0,7.0
,breshad perriman,BAL,WR,22.0,101.0,"perriman, breshad",46.0,Red,1.0,9.0
16016,kenny stills,MIA,WR,23.0,101.0,"stills, kenny",46.0,Green,1.0,5.0
8544,darren sproles,PHI,RB,32.0,84.0,"sproles, darren",49.0,Green,1.0,8.0
14192,roy helu,OAK,RB,27.0,83.0,"helu, roy",50.0,Green,1.0,6.0
11258,chris johnson,ARI,RB,30.0,83.0,"johnson, chris",50.0,Green,1.0,9.0
5362,antonio gates,SD,TE,35.0,73.0,"gates, antonio",23.0,Red,1.0,10.0
14145,charles clay,BUF,TE,26.0,73.0,"clay, charles",23.0,Red,1.0,8.0
9597,jay cutler,CHI,QB,32.0,271.0,"cutler, jay",17.0,Yellow,0.0,7.0
4459,carson palmer,ARI,QB,36.0,271.0,"palmer, carson",17.0,Green,0.0,9.0
16786,richard rodgers,GB,TE,23.0,72.0,"rodgers, richard",25.0,Yellow,0.0,7.0
,marcus mariota,TEN,QB,22.0,270.0,"mariota, marcus",19.0,Red,0.0,4.0
14889,chris polk,HOU,RB,26.0,80.0,"polk, chris",52.0,Red,0.0,9.0
9592,vernon davis,SF,TE,31.0,71.0,"davis, vernon",26.0,Red,0.0,10.0
14914,brian quick,STL,WR,26.0,98.0,"quick, brian",48.0,Red,0.0,6.0
16728,teddy bridgewater,MIN,QB,23.0,268.0,"bridgewater, teddy",20.0,Yellow,0.0,5.0
,david cobb,TEN,RB,22.0,74.0,"cobb, david",53.0,Yellow,0.0,4.0
14017,shane vereen,NYG,RB,26.0,74.0,"vereen, shane",53.0,Green,0.0,11.0
13204,ryan mathews,PHI,RB,28.0,73.0,"mathews, ryan",55.0,Green,0.0,8.0
13214,james starks,GB,RB,29.0,72.0,"starks, james",56.0,Green,0.0,7.0
16143,josh hill,NO,TE,25.0,67.0,"hill, josh",27.0,Yellow,0.0,11.0
16855,rob housler,CLE,TE,27.0,67.0,"housler, rob",27.0,Green,0.0,11.0
,nelson agholor,PHI,WR,22.0,94.0,"agholor, nelson",49.0,Red,0.0,8.0
10467,dwayne bowe,CLE,WR,31.0,94.0,"bowe, dwayne",49.0,Green,0.0,11.0
14129,bilal powell,NYJ,RB,27.0,70.0,"powell, bilal",57.0,Green,0.0,5.0
15369,lance dunbar,DAL,RB,25.0,69.0,"dunbar, lance",58.0,Green,0.0,6.0
8416,alex smith,KC,QB,31.0,264.0,"smith, alex",21.0,Green,0.0,9.0
11252,joe flacco,BAL,QB,30.0,264.0,"flacco, joe",21.0,Yellow,0.0,9.0
15951,denard robinson,JAC,RB,25.0,68.0,"robinson, denard",59.0,Green,0.0,8.0
15041,dan herron,IND,RB,26.0,68.0,"herron, dan",59.0,Yellow,0.0,10.0
16055,benny cunningham,STL,RB,25.0,67.0,"cunningham, benny",61.0,Blue,0.0,6.0
11658,mike tolbert,CAR,RB,30.0,67.0,"tolbert, mike",61.0,Red,0.0,5.0
15707,larry donnell,NYG,TE,27.0,65.0,"donnell, larry",29.0,Yellow,0.0,11.0
15885,charles johnson,MIN,WR,26.0,92.0,"johnson, charles",51.0,Yellow,0.0,5.0
16791,donte moncrief,IND,WR,22.0,91.0,"moncrief, donte",52.0,Yellow,0.0,10.0
13197,sam bradford,PHI,QB,28.0,261.0,"bradford, sam",23.0,Red,0.0,8.0
,josh harris,PIT,RB,24.0,62.0,"harris, josh",63.0,Green,0.0,11.0
12556,kenny britt,STL,WR,27.0,89.0,"britt, kenny",53.0,Green,0.0,6.0
15873,markus wheaton,PIT,WR,24.0,89.0,"wheaton, markus",53.0,Green,0.0,11.0
16950,lorenzo taliaferro,BAL,RB,23.0,60.0,"taliaferro, lorenzo",64.0,Red,0.0,9.0
16886,martavis bryant,PIT,WR,24.0,88.0,"bryant, martavis",55.0,Red,0.0,11.0
11276,eddie royal,CHI,WR,29.0,88.0,"royal, eddie",55.0,Green,0.0,7.0
6016,malcom floyd,SD,WR,34.0,86.0,"floyd, malcom",57.0,Yellow,0.0,10.0
,benjamin watson,NO,TE,35.0,58.0,"watson, benjamin",30.0,Yellow,0.0,11.0
13958,andrew hawkins,CLE,WR,29.0,85.0,"hawkins, andrew",58.0,Yellow,0.0,11.0
11458,steve johnson,SD,WR,29.0,85.0,"johnson, steve",58.0,Red,0.0,10.0
14904,ladarius green,SD,TE,24.0,57.0,"green, ladarius",31.0,Yellow,0.0,10.0
10195,fred jackson,BUF,RB,34.0,51.0,"jackson, fred",65.0,Green,0.0,8.0
16757,derek carr,OAK,QB,24.0,255.0,"carr, derek",24.0,Green,0.0,6.0
14894,robert turbin,SEA,RB,26.0,50.0,"turbin, robert",66.0,Green,0.0,9.0
16782,jerick mckinnon,MIN,RB,23.0,49.0,"mckinnon, jerick",67.0,Blue,0.0,5.0
14911,rueben randle,NYG,WR,24.0,83.0,"randle, rueben",60.0,Green,0.0,11.0
15632,jonathan grimes,HOU,RB,26.0,48.0,"grimes, jonathan",68.0,Green,0.0,9.0
17359,damien williams,MIA,RB,23.0,48.0,"williams, damien",68.0,Green,0.0,5.0
15994,theo riddick,DET,RB,24.0,48.0,"riddick, theo",68.0,Green,0.0,9.0
,cameron artis-payne,CAR,RB,23.0,46.0,"artis-payne, cameron",71.0,Yellow,0.0,5.0
,buck allen,BAL,RB,24.0,46.0,"allen, buck",71.0,Green,0.0,9.0
14884,trent richardson,OAK,RB,24.0,45.0,"richardson, trent",73.0,Green,0.0,6.0
16783,terrance west,CLE,RB,24.0,45.0,"west, terrance",73.0,Blue,0.0,11.0
12563,michael crabtree,OAK,WR,28.0,81.0,"crabtree, michael",61.0,Green,0.0,6.0
17177,allen hurns,JAC,WR,24.0,81.0,"hurns, allen",61.0,Yellow,0.0,8.0
15364,jonas gray,NE,RB,25.0,44.0,"gray, jonas",75.0,Green,0.0,4.0
17452,branden oliver,SD,RB,24.0,43.0,"oliver, branden",76.0,Blue,0.0,10.0
13207,dexter mccluster,TEN,RB,27.0,43.0,"mccluster, dexter",76.0,Green,0.0,4.0
,phillip dorsett,IND,WR,22.0,80.0,"dorsett, phillip",63.0,Yellow,0.0,10.0
13371,garrett graham,HOU,TE,29.0,52.0,"graham, garrett",32.0,Yellow,0.0,9.0
10572,scott chandler,NE,TE,30.0,52.0,"chandler, scott",32.0,Yellow,0.0,4.0
17127,brandon coleman,NO,WR,23.0,79.0,"coleman, brandon",64.0,Yellow,0.0,11.0
16121,luke willson,SEA,TE,25.0,51.0,"willson, luke",34.0,Green,0.0,9.0
12489,donald brown,SD,RB,28.0,40.0,"brown, donald",78.0,Green,0.0,10.0
16530,khiry robinson,NO,RB,26.0,39.0,"robinson, khiry",79.0,Green,0.0,11.0
,dorial green-beckham,TEN,WR,22.0,78.0,"green-beckham, dorial",65.0,Yellow,0.0,4.0
15072,marvin jones,CIN,WR,25.0,77.0,"jones, marvin",66.0,Green,0.0,7.0
14922,mohamed sanu,CIN,WR,26.0,77.0,"sanu, mohamed",66.0,Green,0.0,7.0
11318,harry douglas,TEN,WR,31.0,77.0,"douglas, harry",66.0,Green,0.0,4.0
,david johnson,ARI,RB,24.0,36.0,"johnson, david",80.0,Yellow,0.0,9.0
15501,bobby rainey,TB,RB,28.0,36.0,"rainey, bobby",80.0,Green,0.0,6.0
,matt jones,WAS,RB,22.0,36.0,"jones, matt",80.0,Blue,0.0,8.0
15823,montee ball,DEN,RB,25.0,35.0,"ball, montee",83.0,Green,0.0,7.0
14159,kendall hunter,SF,RB,27.0,35.0,"hunter, kendall",83.0,Green,0.0,10.0
14193,jacquizz rodgers,CHI,RB,25.0,35.0,"rodgers, jacquizz",83.0,Green,0.0,7.0
15966,chris thompson,WAS,RB,25.0,35.0,"thompson, chris",83.0,Green,0.0,8.0
16787,marqise lee,JAC,WR,24.0,76.0,"lee, marqise",69.0,Yellow,0.0,8.0
13158,antone smith,ATL,RB,30.0,34.0,"smith, antone",87.0,Green,0.0,10.0
15996,zac stacy,NYJ,RB,24.0,34.0,"stacy, zac",87.0,Blue,0.0,5.0
14028,stevan ridley,NYJ,RB,26.0,33.0,"ridley, stevan",89.0,Red,0.0,5.0
15880,robert woods,BUF,WR,23.0,75.0,"woods, robert",70.0,Green,0.0,8.0
15391,rod streater,OAK,WR,27.0,75.0,"streater, rod",70.0,Green,0.0,6.0
,jay ajayi,MIA,RB,22.0,32.0,"ajayi, jay",90.0,Yellow,0.0,5.0
12569,percy harvin,BUF,WR,27.0,74.0,"harvin, percy",72.0,Green,0.0,8.0
,kadeem carey,CHI,RB,23.0,30.0,"carey, kadeem",91.0,Green,0.0,7.0
13211,toby gerhart,JAC,RB,28.0,29.0,"gerhart, toby",92.0,Green,0.0,8.0
14583,kamar aiken,BAL,WR,26.0,73.0,"aiken, kamar",73.0,Yellow,0.0,9.0
11373,jacob tamme,ATL,TE,30.0,45.0,"tamme, jacob",35.0,Red,0.0,10.0
15457,travaris cadet,NE,RB,26.0,28.0,"cadet, travaris",93.0,Red,0.0,4.0
11717,marcel reece,OAK,RB,30.0,27.0,"reece, marcel",94.0,Red,0.0,6.0
14898,vick ballard,IND,RB,25.0,27.0,"ballard, vick",94.0,Red,0.0,10.0
,maxx williams,BAL,TE,21.0,44.0,"williams, maxx",36.0,Yellow,0.0,9.0
15855,christine michael,SEA,RB,25.0,26.0,"michael, christine",96.0,Green,0.0,9.0
17045,juwan thompson,DEN,RB,23.0,25.0,"thompson, juwan",97.0,Green,0.0,7.0
,mike davis,SF,RB,22.0,25.0,"davis, mike",97.0,Blue,0.0,10.0
9530,john kuhn,GB,RB,33.0,25.0,"kuhn, john",97.0,Yellow,0.0,7.0
14880,kirk cousins,WAS,QB,27.0,242.0,"cousins, kirk",25.0,Red,0.0,8.0
14186,jordan todman,CAR,RB,25.0,24.0,"todman, jordan",100.0,Green,0.0,5.0
15478,brandon bolden,NE,RB,25.0,24.0,"bolden, brandon",100.0,Green,0.0,4.0
2576817,karlos williams,BUF,RB,22.0,24.0,"williams, karlos",100.0,Green,0.0,8.0
,marcus murphy,NO,RB,24.0,24.0,"murphy, marcus",100.0,Green,0.0,11.0
14360,matt asiata,MIN,RB,28.0,23.0,"asiata, matt",104.0,Green,0.0,5.0
,kenny hilliard,HOU,RB,24.0,22.0,"hilliard, kenny",105.0,Blue,0.0,9.0
15755,fozzy whittaker,CAR,RB,26.0,21.0,"whittaker, fozzy",106.0,Green,0.0,5.0
16024,kerwynn williams,ARI,RB,24.0,21.0,"williams, kerwynn",106.0,Blue,0.0,9.0
16724,blake bortles,JAC,QB,24.0,240.0,"bortles, blake",26.0,Red,0.0,8.0
14877,nick foles,STL,QB,26.0,240.0,"foles, nick",26.0,Green,0.0,6.0
5633,jerricho cotchery,CAR,WR,33.0,69.0,"cotchery, jerricho",74.0,Green,0.0,5.0
10605,brent celek,PHI,TE,30.0,40.0,"celek, brent",37.0,Yellow,0.0,8.0
,josh robinson,IND,RB,23.0,18.0,"robinson, josh",108.0,Green,0.0,10.0
,george winn,DET,RB,25.0,17.0,"winn, george",109.0,Green,0.0,9.0
,devante parker,MIA,WR,22.0,67.0,"parker, devante",75.0,Red,0.0,5.0
14184,cecil shorts,HOU,WR,28.0,67.0,"shorts, cecil",75.0,Red,0.0,9.0
16775,crockett gilmore,BAL,TE,24.0,39.0,"gilmore, crockett",38.0,Yellow,0.0,9.0
13212,anthony dixon,BUF,RB,28.0,15.0,"dixon, anthony",110.0,Red,0.0,8.0
14255,dujuan harris,MIN,RB,27.0,15.0,"harris, dujuan",110.0,Green,0.0,5.0
15971,rex burkhead,CIN,RB,25.0,15.0,"burkhead, rex",110.0,Green,0.0,7.0
12519,cedric peerman,CIN,RB,29.0,15.0,"peerman, cedric",110.0,Green,0.0,7.0
14891,bernard pierce,JAC,RB,24.0,15.0,"pierce, bernard",110.0,Red,0.0,8.0
16793,cody latimer,DEN,WR,23.0,66.0,"latimer, cody",77.0,Red,0.0,7.0
9614,marcedes lewis,JAC,TE,31.0,38.0,"lewis, marcedes",39.0,Yellow,0.0,8.0
13228,jermaine gresham,ARI,TE,27.0,38.0,"gresham, jermaine",39.0,Red,0.0,9.0
15092,bryce brown,BUF,RB,24.0,14.0,"brown, bryce",115.0,Green,0.0,8.0
,jeremy langford,CHI,RB,24.0,14.0,"langford, jeremy",115.0,Blue,0.0,7.0
15981,stepfan taylor,ARI,RB,24.0,13.0,"taylor, stepfan",117.0,Green,0.0,9.0
14888,isaiah pead,STL,RB,26.0,13.0,"pead, isaiah",117.0,Green,0.0,6.0
15836,gavin escobar,DAL,TE,24.0,37.0,"escobar, gavin",41.0,Green,0.0,6.0
14085,virgil green,DEN,TE,27.0,37.0,"green, virgil",41.0,Green,0.0,7.0
,thomas rawls,SEA,RB,22.0,12.0,"rawls, thomas",119.0,Blue,0.0,9.0
17465,fitzgerald toussaint,BAL,RB,25.0,12.0,"toussaint, fitzgerald",119.0,Green,0.0,9.0
15349,cole beasley,DAL,WR,26.0,64.0,"beasley, cole",78.0,Green,0.0,6.0
,ty montgomery,GB,WR,22.0,64.0,"montgomery, ty",78.0,Yellow,0.0,7.0
,zurlon tipton,IND,RB,25.0,10.0,"tipton, zurlon",121.0,Red,0.0,10.0
13225,riley cooper,PHI,WR,28.0,63.0,"cooper, riley",80.0,Yellow,0.0,8.0
15786,tavon austin,STL,WR,24.0,63.0,"austin, tavon",80.0,Green,0.0,6.0
9638,greg jennings,MIA,WR,32.0,61.0,"jennings, greg",82.0,Green,0.0,5.0
13226,andre roberts,WAS,WR,27.0,59.0,"roberts, andre",83.0,Yellow,0.0,8.0
14151,jeremy kerley,NYJ,WR,27.0,59.0,"kerley, jeremy",83.0,Green,0.0,5.0
10453,ted ginn,CAR,WR,30.0,59.0,"ginn, ted",83.0,Green,0.0,5.0
15845,justin hunter,TEN,WR,24.0,58.0,"hunter, justin",86.0,Red,0.0,4.0
,chris conley,KC,WR,23.0,58.0,"conley, chris",86.0,Red,0.0,9.0
17399,corey brown,CAR,WR,24.0,57.0,"brown, corey",88.0,Yellow,0.0,5.0
14918,jarius wright,MIN,WR,26.0,56.0,"wright, jarius",89.0,Green,0.0,5.0
13440,andrew quarless,GB,TE,27.0,28.0,"quarless, andrew",43.0,Yellow,0.0,7.0
15980,levine toilolo,ATL,TE,24.0,28.0,"toilolo, levine",43.0,Green,0.0,10.0
12568,brian hartline,CLE,WR,29.0,55.0,"hartline, brian",90.0,Yellow,0.0,11.0
15428,jermaine kearse,SEA,WR,25.0,54.0,"kearse, jermaine",91.0,Green,0.0,9.0
