fftoday_id,full_name,team,position,fantasy_points,bye
2955,Matt Ryan,ATL,qb,273.7,10
11001,Matthew Stafford,DET,qb,270.7,9
3066,Ben Roethlisberger,PIT,qb,267.7,11
11890,Colin Kaepernick,SF,qb,264.7,10
3062,Philip Rivers,SD,qb,259.9,10
12283,Ryan Tannehill,MIA,qb,258.7,5
2355,Tony Romo,DAL,qb,258.3,6
1937,Drew Brees,NO,qb,257.0,11
3060,Eli Manning,NYG,qb,243.6,11
2608,Jay Cutler,CHI,qb,238.7,7
14131,Teddy Bridgewater,MIN,qb,233.6,5
2471,Alex Smith,KC,qb,232.0,9
11889,Andy Dalton,CIN,qb,229.7,7
2913,Joe Flacco,BAL,qb,227.6,9
12277,Robert Griffin III,WAS,qb,219.9,8
2254,Carson Palmer,ARI,qb,216.9,9
14145,Derek Carr,OAK,qb,214.3,6
1812,Tom Brady,NE,qb,212.6,4
15353,Jameis Winston,TB,qb,212.0,6
15240,Marcus Mariota,TEN,qb,209.4,4
14125,Blake Bortles,JAC,qb,197.5,8
12362,Nick Foles,STL,qb,195.6,6
11411,Sam Bradford,PHI,qb,192.6,8
2548,Ryan Fitzpatrick,NYJ,qb,161.8,5
2121,Josh McCown,CLE,qb,143.7,11
11285,Brian Hoyer,HOU,qb,112.2,9
2541,Matt Cassel,BUF,qb,102.5,8
11928,Ryan Mallett,HOU,qb,91.7,9
11005,Mark Sanchez,PHI,qb,84.6,8
13362,Geno Smith,NYJ,qb,81.3,5
12034,Tyrod Taylor,BUF,qb,78.4,8
14246,Johnny Manziel,CLE,qb,57.5,11
14191,Jimmy Garoppolo,NE,qb,56.5,4
12376,Kirk Cousins,WAS,qb,33.5,8
14261,Zach Mettenberger,TEN,qb,27.7,4
13255,EJ Manuel,BUF,qb,24.3,8
12297,Brandon Weeden,DAL,qb,17.9,6
2534,Derek Anderson,CAR,qb,17.6,5
2923,Chad Henne,JAC,qb,16.7,8
13129,Mike Glennon,TB,qb,14.0,6
2216,Shaun Hill,MIN,qb,12.6,5
12805,Austin Davis,STL,qb,11.8,6
11322,Chase Daniel,KC,qb,11.5,9
